BertzCT,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3v,Chi4n,EState_VSA1,EState_VSA2,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HallKierAlpha,HeavyAtomMolWt,Kappa3,MaxAbsEStateIndex,MinEStateIndex,NumHeteroatoms,PEOE_VSA10,PEOE_VSA14,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA10,SMR_VSA5,SlogP_VSA3,VSA_EState9
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,-0.02,32.067,-27.04,3.777777778,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
26.26466251,1.0,0.223606798,0.223606798,0.0,0.0,0.0,0.0,0.0,0.0,27.01089903,2.0,2.5,2.5,-0.51,26.018,-4.470784314,6.25,4.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.0,1.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,33.02146372,1.5,1.5,1.5,-0.08,30.006,-14.58,7.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
6.754887502,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,30.01056468,1.5,1.5,1.5,-0.01,28.01,-14.58,4.75,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.03677943,3.0,3.0,3.0,-0.04,68.031,2.96,3.777777778,0.25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.777777778
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.02146372,1.0,1.0,1.0,0.35,30.006,1.47,3.777777778,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,-0.04,14.007,-104.04,4.75,0.25,2,0.0,6.15054635,6.9237372,0.0,0.0,0.0,0.0,0.0,4.75
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0265491,1.0,1.0,1.0,0.73,14.007,-104.04,4.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12.62878915,0.0,0.0,8.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,1.0,1.0,1.0,0.35,32.067,7.778571429,2.0,2.0,1,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,1.0,1.0,1.0,0.35,32.067,-14.58,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,31.04219916,1.5,1.5,1.5,-0.12,26.018,-27.04,4.5,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.01363868,3.0,3.0,3.0,0.35,42.017,-104.04,4.75,-0.256944444,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.0,0.447213596,0.447213596,0.0,0.0,0.0,0.0,0.0,0.0,32.02621475,1.0,2.0,2.0,-0.04,28.01,-27.04,7.680555556,0.319444444,2,0.0,0.0,0.0,6.255769184,0.0,0.0,0.0,0.0,8.180555556
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,1.857142857,1.857142857,1.857142857,0.35,28.014,-104.04,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.98772106,1.0,1.0,1.0,0.35,32.067,7.778571429,3.777777778,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.02621475,3.0,3.0,3.0,-0.04,28.01,0.92905918,7.430555556,0.444444444,3,0.0,12.21632494,0.0,0.0,0.0,6.472220865,0.0,0.0,12.21632494
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.07403397,1.8,1.8,1.8,-0.08,52.032,-14.58,8.0,-0.083333333,1,12.20793278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.0,0.408248291,0.408248291,0.0,0.0,0.0,0.0,0.0,0.0,44.01363868,1.5,1.5,1.5,-0.04,42.017,-104.04,6.5,1.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.01042245,3.0,3.0,3.0,-0.04,14.007,-104.04,4.75,0.25,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,0.35,32.067,7.778571429,7.430555556,0.444444444,2,5.749511833,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,8.0
2.0,1.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,-0.04,14.007,-104.04,7.0,0.25,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40703316,35.97667771,1.0,1.0,1.0,0.29,35.453,10.08310345,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12.40703316,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,-0.04,14.007,-104.04,4.75,4.75,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,1.0,1.0,1.0,-0.04,15.999,2.484272212,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426638065,1.007276452,-666.0,-666.0,-666.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.426638065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.97664013,126.9050216,1.0,1.0,1.0,0.73,126.904,2.209452055,8.006944444,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1.77421523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,1.0,1.0,1.0,-0.08,14.007,1.04,4.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.97664013,126.9050216,1.0,1.0,1.0,0.35,126.904,2.209452055,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,1.0,1.0,1.0,-0.08,32.067,-27.04,7.569444444,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
2.0,1.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,31.01838972,3.0,3.0,3.0,-0.04,28.01,-27.04,7.0,1.0,2,0.0,0.0,0.0,0.0,7.109797541,0.0,0.0,0.0,8.0
2.0,1.0,0.447213596,0.447213596,0.0,0.0,0.0,0.0,0.0,0.0,32.02621475,1.5,1.5,1.5,-0.04,28.01,-27.04,8.0,2.0,1,0.0,0.0,0.0,7.047671983,0.0,0.0,0.0,0.0,6.0
8.0,1.0,0.463678103,0.463678103,0.0,0.0,0.0,0.0,0.0,0.0,74.04801281,1.333333333,1.333333333,1.333333333,-0.73,64.047,1.948260709,8.666666667,0.25,1,0.0,0.0,0.0,0.0,0.0,12.62878915,0.0,0.0,8.666666667
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.02621475,1.0,1.0,1.0,-0.04,40.021,-104.04,0.25,0.25,1,0.0,12.21632494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.754887502,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,27.01089903,1.5,1.5,1.5,-0.51,26.018,-4.470784314,6.5,3.5,1,0.0,0.0,0.0,0.0,6.57213689,0.0,0.0,0.0,10.0
2.0,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,31.04219916,1.5,1.5,1.5,-0.04,26.018,-27.04,4.5,1.75,1,0.0,0.0,0.0,7.047671983,0.0,0.0,0.0,0.0,6.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,1.5,1.5,1.5,-0.04,14.007,-104.04,4.75,1.875,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00273965,3.0,3.0,3.0,-0.04,15.999,-104.04,7.25,-0.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
2.0,1.0,0.223606798,0.223606798,0.0,0.0,0.0,0.0,0.0,0.0,45.02146372,2.0,2.0,2.0,-0.51,42.017,-4.470784314,4.75,0.25,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,1.5,1.5,1.5,-0.04,14.007,-104.04,4.75,1.75,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0054793,1.0,1.0,1.0,-0.04,32.067,-104.04,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,33.02146372,1.5,1.5,1.5,-0.08,30.006,-14.58,4.5,2.0,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.02621475,3.0,3.0,3.0,-0.04,28.01,-27.04,7.430555556,0.444444444,1,0.0,0.0,0.0,0.0,0.0,12.62878915,0.0,0.0,14.0
2.0,1.732050808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00273965,1.4,1.8,1.8,0.35,14.007,-14.58,7.430555556,0.319444444,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319444444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06867815,85.97667771,1.0,1.0,1.0,0.51948052,78.96,10.08310345,0.0,0.0,1,0.0,17.06867815,0.0,0.0,0.0,17.06867815,0.0,0.0,0.0
9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,-0.04,32.067,-104.04,7.0,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,8.0
26.26466251,1.414213562,0.223606798,0.223606798,0.0,0.0,0.0,0.0,0.0,0.0,26.003074,3.0,3.0,3.0,-0.51,26.018,-4.470784314,7.430555556,0.069444444,2,0.0,11.83402844,0.0,0.0,0.0,0.0,0.0,0.0,8.180555556
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00273965,3.0,3.0,3.0,-0.04,14.007,-104.04,7.25,-0.25,2,0.0,5.476191836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.26466251,1.0,0.223606798,0.223606798,0.0,0.0,0.0,0.0,0.0,0.0,26.00362258,3.0,3.0,3.0,-0.51,26.018,-4.470784314,7.0,-0.25,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,8.0
26.26466251,1.0,0.223606798,0.223606798,0.0,0.0,0.0,0.0,0.0,0.0,31.04219916,1.5,1.5,1.5,-0.51,26.018,-4.470784314,6.25,4.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00273965,3.0,3.0,3.0,0.35,15.999,-104.04,7.680555556,3.5,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,8.180555556
7.754887502,1.414213562,0.781474414,0.781474414,0.0,0.0,0.0,0.0,0.0,13.49569335,31.01838972,1.0,1.1,1.1,-0.04,28.01,-104.04,7.75,-0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.0,0.447213596,1.341640787,0.0,0.0,0.0,0.0,0.0,0.0,44.02621475,1.5,1.5,1.5,0.35,40.021,1.458471338,3.527777778,1.694444444,1,0.0,0.0,0.0,0.0,0.0,12.62878915,0.0,0.0,1.694444444
2.0,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,29.01838972,2.0,2.0,2.0,-0.08,28.01,-14.58,7.0,-0.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.00362258,1.333333333,1.333333333,1.333333333,-0.04,26.018,-27.04,7.569444444,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.93217136,1.5,1.5,1.5,-0.04,76.058,-27.04,5.25,2.0,2,0.0,5.476191836,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,2.0,2.0,2.0,-0.04,14.007,-104.04,4.75,0.25,2,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,-0.04,14.007,-104.04,4.75,0.25,1,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.02621475,1.0,1.0,1.0,-0.04,28.01,-104.04,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.754887502,1.0,0.408248291,0.408248291,0.0,0.0,0.0,0.0,0.0,0.0,27.01089903,1.5,1.5,1.5,-0.04,26.018,-27.04,6.25,4.75,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2.0,1.0,0.447213596,0.447213596,0.0,0.0,0.0,0.0,0.0,0.0,32.02621475,3.0,3.0,3.0,-0.04,28.01,-27.04,7.0,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,6.9237372,0.0,8.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,-0.04,14.007,-104.04,7.0,0.0,2,0.0,7.595762327,0.0,0.0,0.0,7.595762327,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,0.08,32.067,-14.58,7.25,3.777777778,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
8.0,1.0,0.447213596,0.447213596,0.0,0.0,0.0,0.0,0.0,0.0,44.02621475,1.5,1.5,1.5,-0.04,40.021,1.207142857,7.0,1.5,1,0.0,0.0,0.0,0.0,6.066367069,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21632494,32.97989603,0.0,0.0,0.0,0.51948052,32.067,2.209452055,0.0,0.444444444,2,0.0,12.21632494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,0.35,14.007,-104.04,3.527777778,3.5,2,0.0,12.62878915,0.0,0.0,0.0,12.62878915,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,1.0,1.0,1.0,0.35,32.067,7.778571429,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,-0.09,32.067,7.778571429,3.777777778,0.444444444,2,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
6.754887502,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,0.0,31.01838972,1.5,1.5,1.5,-0.51,28.01,-4.470784314,6.5,0.215277778,1,0.0,0.0,0.0,0.0,6.57213689,0.0,0.0,0.0,6.426697531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,1.0,1.0,1.0,-0.04,32.067,-104.04,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,34.0054793,1.0,1.0,1.0,-0.04,31.998,-27.04,7.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2.0,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,27.01089903,3.0,3.0,3.0,-0.04,26.018,-27.04,7.25,-0.25,2,0.0,5.476191836,0.0,0.0,0.0,0.0,0.0,0.0,7.25
2.0,1.0,0.25819889,0.25819889,0.0,0.0,0.0,0.0,0.0,6.57213689,27.01089903,2.0,2.0,2.0,-0.04,26.018,-14.58,6.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,1.0,1.0,1.0,0.35,32.067,7.778571429,3.777777778,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
6.754887502,1.0,0.577350269,0.577350269,0.0,0.0,0.0,0.0,0.0,0.0,46.04186481,1.5,1.5,1.5,-0.33,40.021,-5.36030303,9.894166667,-0.25,2,0.0,16.37328544,0.0,0.0,0.0,0.0,0.0,0.0,8.180555556
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.07349929,3.0,3.0,3.0,0.35,50.04,7.778571429,9.444861111,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.97664013,126.9050216,1.0,1.0,1.0,0.73,126.904,4.21948052,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15054635,0.0,32.97989603,2.0,2.0,2.0,-0.04,32.067,-27.04,8.0,-0.0,2,0.0,6.15054635,0.0,0.0,0.0,6.15054635,0.0,0.0,8.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01872406,3.0,3.0,3.0,-0.08,14.007,-14.58,4.75,4.75,1,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2.0,1.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,33.02146372,3.0,3.0,3.0,-0.05,28.01,-14.58,8.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,32.97989603,1.0,1.0,1.0,0.35,32.067,7.778571429,0.0,0.0,1,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.01838972,1.0,1.0,1.0,-0.04,28.01,-104.04,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.98772106,1.0,1.0,1.0,-0.08,32.067,4.21948052,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
12.26466251,1.732050808,0.447213596,0.447213596,0.0,0.0,0.0,0.0,0.0,0.0,44.02621475,1.5,1.5,1.5,-0.04,42.017,1.47,8.583333333,-0.833333333,2,0.0,0.0,0.0,0.0,0.0,6.472220865,0.0,0.0,16.66666667
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,0.35,32.067,7.778571429,3.777777778,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,13.49569335,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15054635,34.0054793,1.0,1.0,1.0,-0.04,28.01,-104.04,4.75,0.444444444,1,0.0,0.0,0.0,0.0,0.0,6.15054635,0.0,0.0,4.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40703316,35.97667771,1.0,1.0,1.0,0.29,35.453,10.08310345,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12.40703316,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.97989603,3.0,3.0,3.0,-0.04,32.067,7.778571429,3.777777778,0.444444444,2,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00273965,1.0,1.0,1.0,-0.04,15.999,-104.04,4.75,0.25,1,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,4.75
